CAGR,MDD,Sharpe,Calmar,Final,Trades,WinRate,AvgTrade,MedianTrade,AvgHoldDays,ProfitFactor,Strategy,Signals,regime,stop,max_pos,risk_exit,time_stop,time_gain,ma20_fail_age
0.09544128980109412,-0.3452016212215052,0.5120135359283182,0.27647984231178446,2.9021036834361786,213,0.26291079812206575,0.02882251577152988,-0.07399440183972417,33.76056338028169,1.519312124820302,m200_base,667,m200,0.07,5,none,0,0.1,0
0.097386758039262,-0.354211895209562,0.5029338827725972,0.27493926476310226,2.9629185430145646,252,0.2619047619047619,0.024760445440898272,-0.07399440183972422,33.03174603174603,1.4444984640753296,fast_base,747,fast,0.07,5,none,0,0.1,0
0.08614348072365141,-0.3214366611953682,0.47607173387750545,0.26799519508228614,2.6269116389804377,259,0.28957528957528955,0.021940389227159705,-0.07380880167974824,27.38996138996139,1.4430101435512346,fast_risk_nonwinner,747,fast,0.07,5,nonwinner,0,0.1,0
0.08645015354066343,-0.3659547753683361,0.47649216713187337,0.236231795181934,2.635593740738845,224,0.25,0.025049357611074328,-0.07399440183972417,31.165178571428573,1.452839505002864,m200_time40,667,m200,0.07,5,none,40,0.1,0
0.09389736311115149,-0.4126288780881979,0.5109356726730448,0.2275588745659272,2.8546556765890956,259,0.2702702702702703,0.02421041355892121,-0.06583110554602867,22.158301158301157,1.535725078207893,m200_ma20fail10,667,m200,0.07,5,none,0,0.1,10
0.08312611549101878,-0.3681709287882532,0.464082906542565,0.2257813124045632,2.542871906090008,224,0.24553571428571427,0.02415430443557847,-0.07399440183972428,30.848214285714285,1.4356409544623672,m200_time30,667,m200,0.07,5,none,30,0.1,0
0.0909256983922837,-0.40691364071275204,0.4994313183789293,0.22345207752931992,2.765321486810874,262,0.2595419847328244,0.02352189131874998,-0.06000673303575099,21.641221374045802,1.524438111513429,m200_ma20fail5,667,m200,0.07,5,none,0,0.1,5
0.08164242447550607,-0.36981809576534685,0.46090571640557443,0.22076373603770047,2.502456389121385,247,0.23481781376518218,0.022081411645751645,-0.07353040143978429,24.190283400809715,1.4561487817019276,m200_time10,667,m200,0.07,5,none,10,0.1,0
0.09369644962506607,-0.45129309065016854,0.4884103917690547,0.20761773571600564,2.848533639510423,179,0.30726256983240224,0.022790379935762658,-0.039406407734781435,21.558659217877096,1.5825834626355144,m200_combo_pos3,667,m200,0.07,3,nonwinner,20,0.1,10
0.06259577571863106,-0.30612878648748176,0.40403530890003453,0.20447530085900867,2.033232983079606,239,0.30962343096234307,0.01714948615837571,-0.03964414203255673,23.05857740585774,1.3830016541683499,m200_combo_stop9,667,m200,0.09,5,nonwinner,20,0.1,10
0.0767663937259786,-0.3939641192878627,0.4437675882223498,0.19485630789104105,2.3737354290786796,300,0.2866666666666667,0.017655915061360994,-0.05680646027374292,19.923333333333332,1.4075413443102887,fast_combo,747,fast,0.07,5,nonwinner,20,0.1,10
0.07507913370192387,-0.3933316709843654,0.4316750878858426,0.19087996019753062,2.330623718395707,230,0.23478260869565218,0.02118781870572873,-0.07399440183972417,28.604347826086958,1.3883616404328685,m200_time20,667,m200,0.07,5,none,20,0.1,0
0.06539670190484159,-0.34597858980801166,0.40502975079390624,0.1890195053431807,2.096763617410108,219,0.2831050228310502,0.01616668941184911,-0.049672156509899756,20.748858447488583,1.3858481845478714,m200_combo_pos4,667,m200,0.07,4,nonwinner,20,0.1,10
0.07656560448090777,-0.41646847539921383,0.4419493148888457,0.18384489824233236,2.368567048766515,258,0.2596899224806202,0.019061343553244056,-0.07380880167974813,22.147286821705425,1.3969950788212984,m200_ma20fail15,667,m200,0.07,5,none,0,0.1,15
0.07366522595810743,-0.42022318338313536,0.4286137503253066,0.1753002425164718,2.2950492288654223,252,0.27380952380952384,0.019308568768096914,-0.07380880167974824,23.49206349206349,1.3882717896617547,m200_ma20fail20,667,m200,0.07,5,none,0,0.1,20
0.051743445950124034,-0.3024209626176766,0.3573193564752462,0.17109741832129072,1.803347369430522,220,0.2818181818181818,0.01448708316364616,-0.07380880167974824,28.45909090909091,1.2915257741622785,m200_risk_nonwinner,667,m200,0.07,5,nonwinner,0,0.1,0
0.07073414198828654,-0.4327410228146603,0.4156138199735112,0.1634560586103283,2.2228784945052817,238,0.23109243697478993,0.01978364091656224,-0.07399440183972406,26.445378151260503,1.3796594468094596,m200_time15,667,m200,0.07,5,none,15,0.1,0
0.05386970925967893,-0.33538859068618476,0.3680273211973414,0.16061878893812329,1.846421822685648,247,0.29554655870445345,0.016098636006523972,-0.043808548983308215,22.17408906882591,1.3683185757539449,m200_combo_stop8,667,m200,0.08,5,nonwinner,20,0.1,10
0.040692423599741234,-0.2977871791760913,0.30380438239013596,0.13664934706835874,1.593903908727447,229,0.26200873362445415,0.01026242877392078,-0.07380880167974824,26.04366812227074,1.2033395853209807,m200_timegain5,667,m200,0.07,5,nonwinner,20,0.05,0
0.041501131542655445,-0.3533987025510654,0.3107172326153977,0.11743430647331993,1.6084408039056155,262,0.2900763358778626,0.009956670326479837,-0.07380880167974824,25.5381679389313,1.20103807294327,fast_risk_all,747,fast,0.07,5,all,0,0.1,0
0.03606522197555262,-0.3775902094710156,0.283180742707533,0.09551418726157686,1.5130128149590607,259,0.26640926640926643,0.00933873091828425,-0.059872873902294343,19.957528957528957,1.2131136459028606,m200_combo,667,m200,0.07,5,nonwinner,20,0.1,10
0.03606522197555262,-0.3775902094710156,0.283180742707533,0.09551418726157686,1.5130128149590607,259,0.26640926640926643,0.00933873091828425,-0.059872873902294343,19.957528957528957,1.2131136459028606,m200_combo_stop7,667,m200,0.07,5,nonwinner,20,0.1,10
0.03606522197555262,-0.3775902094710156,0.283180742707533,0.09551418726157686,1.5130128149590607,259,0.26640926640926643,0.00933873091828425,-0.059872873902294343,19.957528957528957,1.2131136459028606,m200_combo_pos5,667,m200,0.07,5,nonwinner,20,0.1,10
0.031146604357895624,-0.3395159718689388,0.25739830668553604,0.09173825957713398,1.4311576946825677,234,0.2564102564102564,0.008128240345444094,-0.07380880167974824,24.662393162393162,1.1620054315953794,m200_timegain10,667,m200,0.07,5,nonwinner,20,0.1,0
0.025164757629191348,-0.2852188489295816,0.23291311478968457,0.08822964444192234,1.3370730933441621,280,0.26785714285714285,0.008450686757389542,-0.060687757554521105,19.771428571428572,1.1915809520782001,m200_combo_pos6,667,m200,0.07,6,nonwinner,20,0.1,10
