CAGR,MDD,Sharpe,Calmar,Final,Trades,WinRate,AvgTrade,MedianTrade,AvgHoldDays,ProfitFactor,Strategy,rs,rsacc,ma_ratio,last_range,vol_dry,atr_ratio,breakvol,stop,breadth,full_stack,use_vcp
-0.002491639698618875,-0.1389002231209051,-0.03972756261750359,-0.01793834194528282,0.9712626631173997,22,0.18181818181818182,-0.003985275549107578,-0.06450634204869288,20.59090909090909,0.9246980727255203,early_vcp_no_accel,90,-100,0.97,0.12,0.8,0.85,1.3,0.06,,False,True
-0.0011071323216839124,-0.013343585359550825,-0.540937007220435,-0.08297112746323983,0.9871362507623856,1,0.0,-0.06431874618807198,-0.06431874618807198,9.0,0.0,full_stack_vcp,90,10,0.97,0.12,0.8,0.85,1.3,0.06,,True,True
-0.003329065754317906,-0.03986882698762817,-0.65931057612364,-0.08350046905947243,0.9617750914064442,3,0.0,-0.06453760802546298,-0.06431874618807198,8.0,0.0,grid_breakvol1.2,90,10,0.97,0.12,0.8,0.85,1.2,0.06,,False,True
-0.001909458275349607,-0.022566549080212717,-0.6168467521821248,-0.08461454467683316,0.9779088016797691,2,0.0,-0.055536286448067185,-0.055536286448067185,5.0,0.0,grid_stop5,90,10,0.97,0.12,0.8,0.85,1.3,0.05,,False,True
-0.004443844328820612,-0.05234579527607308,-0.4517853144400751,-0.08489400734832019,0.9492767602894108,4,0.0,-0.06464703894415849,-0.06464703894415852,18.5,0.0,grid_breakvol1.0,90,10,0.97,0.12,0.8,0.85,1.0,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,early_vcp,90,10,0.97,0.12,0.8,0.85,1.3,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,grid_rs85_ma0.95,85,10,0.95,0.12,0.8,0.85,1.3,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,grid_rs85_ma0.97,85,10,0.97,0.12,0.8,0.85,1.3,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,grid_rs85_ma0.99,85,10,0.99,0.12,0.8,0.85,1.3,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,grid_rs90_ma0.95,90,10,0.95,0.12,0.8,0.85,1.3,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,grid_rs90_ma0.97,90,10,0.97,0.12,0.8,0.85,1.3,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,grid_rs90_ma0.99,90,10,0.99,0.12,0.8,0.85,1.3,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,grid_stop6,90,10,0.97,0.12,0.8,0.85,1.3,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,grid_breakvol1.3,90,10,0.97,0.12,0.8,0.85,1.3,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,grid_breakvol1.5,90,10,0.97,0.12,0.8,0.85,1.5,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,grid_voldry0.80,90,10,0.97,0.12,0.8,0.85,1.3,0.06,,False,True
-0.0022130389013900187,-0.026035686061169128,-0.6007160389274522,-0.08500021455899529,0.9744379775692196,2,0.0,-0.06431874618807204,-0.06431874618807204,5.0,0.0,grid_voldry0.90,90,10,0.97,0.12,0.9,0.85,1.3,0.06,,False,True
-0.002557664988641628,-0.029960217897413433,-0.6115428279929902,-0.08536870450673324,0.9705115371332755,2,0.0,-0.07427280207968806,-0.07427280207968806,6.5,0.0,grid_stop7,90,10,0.97,0.12,0.8,0.85,1.3,0.07,,False,True
-0.002902868819450566,-0.033876826928423975,-0.5994301752748786,-0.08568892315634632,0.9665930233556271,2,0.0,-0.08422685797130425,-0.08422685797130425,6.5,0.0,grid_stop8,90,10,0.97,0.12,0.8,0.85,1.3,0.08,,False,True
-0.0011071323216839124,-0.012863749237614353,-0.3607164239044361,-0.08606606839369917,0.9871362507623856,1,0.0,-0.06431874618807198,-0.06431874618807198,1.0,0.0,grid_voldry0.70,90,10,0.97,0.12,0.7,0.85,1.3,0.06,,False,True
-0.09480392382221015,-0.8453357227123512,0.024754995283864295,-0.11214943515934886,0.3121858510508065,822,0.15328467153284672,0.0012552544554907334,-0.06431874618807187,17.394160583941606,1.0214276500666246,early_no_vcp,90,10,0.97,0.12,0.8,0.85,1.3,0.06,,False,False
0.0,0.0,,,1.0,0,,,,,,early_vcp_breadth45,90,10,0.97,0.12,0.8,0.85,1.3,0.06,0.45,False,True
0.0,0.0,,,1.0,0,,,,,,early_vcp_breadth50,90,10,0.97,0.12,0.8,0.85,1.3,0.06,0.5,False,True
0.0,0.0,,,1.0,0,,,,,,early_vcp_breadth55,90,10,0.97,0.12,0.8,0.85,1.3,0.06,0.55,False,True
0.0,0.0,,,1.0,0,,,,,,grid_rs95_ma0.95,95,10,0.95,0.12,0.8,0.85,1.3,0.06,,False,True
0.0,0.0,,,1.0,0,,,,,,grid_rs95_ma0.97,95,10,0.97,0.12,0.8,0.85,1.3,0.06,,False,True
0.0,0.0,,,1.0,0,,,,,,grid_rs95_ma0.99,95,10,0.99,0.12,0.8,0.85,1.3,0.06,,False,True
