peak,trough,recovery,drawdown,days_to_trough,days_to_recovery
2021-01-04,2025-09-12,,-0.1389002231209051,1712,
2017-10-11,2020-10-22,2020-11-09,-0.09945424672115977,1107,1125.0
2020-11-13,2020-12-07,2021-01-04,-0.058863907687742856,24,52.0
2016-04-05,2017-06-21,2017-07-20,-0.04766908484840593,442,471.0
2017-07-24,2017-09-07,2017-09-21,-0.026489932470766364,45,59.0
2017-09-25,2017-09-26,2017-10-10,-0.01125052698914919,1,15.0
2017-07-20,2017-07-21,2017-07-24,-0.0005634225535781079,1,4.0
