CAGR,MDD,Sharpe,Calmar,Final,Trades,WinRate,AvgTrade,MedianTrade,AvgHoldDays,ProfitFactor,Strategy,Signals,rs,rsacc,vcp_shape,breakvol,stop,full_stack,regime,near_high
0.058778180580628,-0.19050636533169785,0.6638055404662625,0.3085365703045517,1.949475519237569,24,0.5,0.16402184362577232,-0.0279195038895787,43.5,5.334483881018016,fast_rs95,51,95,5,soft,1.2,0.07,True,fast,False
0.09544128980109412,-0.3452016212215052,0.5120135359283182,0.27647984231178446,2.9021036834361786,213,0.26291079812206575,0.02882251577152988,-0.07399440183972417,33.76056338028169,1.519312124820302,m200_acc0,667,85,0,soft,1.2,0.07,True,m200,False
0.097386758039262,-0.354211895209562,0.5029338827725972,0.27493926476310226,2.9629185430145646,252,0.2619047619047619,0.024760445440898272,-0.07399440183972422,33.03174603174603,1.4444984640753296,fast_acc0,747,85,0,soft,1.2,0.07,True,fast,False
0.05139540832960621,-0.19050636533169796,0.6009004805474586,0.26978315522486446,1.7963848914160199,20,0.45,0.1760471547569978,-0.07376240163975417,41.55,5.248840359118825,m200_rs95,45,95,5,soft,1.2,0.07,True,m200,False
0.06244779151947122,-0.40345846688238074,0.4188261889340655,0.15478121453744698,2.0299258844552694,120,0.3416666666666667,0.0406021221378997,-0.09418091386292043,48.791666666666664,1.6382562156188316,fast_stop9,270,85,5,soft,1.2,0.09,True,fast,False
0.05982619388427368,-0.4218380605937879,0.408719043628727,0.14182265535751112,1.9721487831297524,110,0.33636363636363636,0.04335217961788416,-0.09418091386292038,49.35454545454545,1.67482557362867,m200_stop9,250,85,5,soft,1.2,0.09,True,m200,False
0.06992314996355353,-0.4952187672028583,0.4429093530441558,0.1411964864710199,2.2032796944295887,148,0.2972972972972973,0.03837936162432942,-0.07427280207968806,36.060810810810814,1.7092783280730723,fast_rs80,324,80,5,soft,1.2,0.07,True,fast,False
0.05960277683147375,-0.538571718803864,0.39757119531485063,0.11066822625563777,1.9672951372562617,137,0.2773722627737226,0.03704091611595323,-0.07427280207968812,36.167883211678834,1.664925360854421,m200_rs80,302,80,5,soft,1.2,0.07,True,m200,False
0.04751155828365494,-0.4925471470295445,0.3642183694376717,0.09646093489768007,1.7203389140873315,88,0.26136363636363635,0.04631048217046099,-0.07436560215967614,29.613636363636363,1.8019282479731844,fast_rs90,162,90,5,soft,1.2,0.07,True,fast,False
0.04335878791445902,-0.5365896878964324,0.34388600055760804,0.08080436298438097,1.6422932682717708,77,0.23376623376623376,0.05021662684691477,-0.07445840223966405,28.675324675324674,1.8353008354045568,m200_rs90,147,90,5,soft,1.2,0.07,True,m200,False
0.039775698937348114,-0.5147597167351218,0.30918888109985215,0.07727041888519681,1.5775707114222355,120,0.24166666666666667,0.03046788899758828,-0.07427280207968823,33.09166666666667,1.519537931100071,fast_bv1.4,244,85,5,soft,1.4,0.07,True,fast,False
