CAGR,MDD,Sharpe,Calmar,Final,Trades,WinRate,AvgTrade,MedianTrade,AvgHoldDays,ProfitFactor,Strategy,Signals,rs,rsacc,ma_ratio,slope60_min,vcp_shape,breakvol,stop,breadth,full_stack
0.017264484802544944,-0.5594312916953972,0.18761377886480377,0.03086077782711022,1.2214800088898141,167,0.24550898203592814,0.014469517898468984,-0.07427280207968812,30.353293413173652,1.2504062571468122,confirmed_soft,334,85,5,0.95,-0.01,soft,1.2,0.07,,True
0.006444449463876678,-0.6348733237373545,0.16130331201088532,0.010150764290960712,1.0779707274771932,401,0.24937655860349128,0.005643464597130301,-0.0742728020796879,30.211970074812967,1.100528586674048,early_soft_accel0,1271,85,0,0.95,-0.01,soft,1.2,0.07,,False
-0.01210621979132609,-0.7835152475935809,0.042078296533136286,-0.015451160431795114,0.8673093400288585,222,0.21171171171171171,0.004201054399181332,-0.07427280207968812,28.126126126126128,1.070959943059662,early_soft_breadth50,515,85,5,0.95,-0.01,soft,1.2,0.07,0.5,False
-0.01967391946615782,-0.7593721026173799,-0.0007329892703968076,-0.02590814094743061,0.7927569523630245,226,0.22566371681415928,0.000607433629473995,-0.07427280207968812,29.11946902654867,1.0104525565906886,early_soft_breadth45,535,85,5,0.95,-0.01,soft,1.2,0.07,0.45,False
-0.024807735050727975,-0.7667361154822683,-0.026812555044031638,-0.03235498439397783,0.745569394001627,230,0.2217391304347826,-0.0006895861174686478,-0.07427280207968812,28.843478260869563,0.988189832527845,early_soft_breadth40,545,85,5,0.95,-0.01,soft,1.2,0.07,0.4,False
-0.0252381481357542,-0.768844599473444,-0.021887075662353067,-0.032826071943587776,0.741732364497081,238,0.22268907563025211,-0.0005542558975169769,-0.07427280207968812,31.16386554621849,0.9904920783233816,early_soft_accel5,564,85,5,0.95,-0.01,soft,1.2,0.07,,False
-0.03598635475198675,-0.636808266515341,0.003666121676068178,-0.056510501895502364,0.6515774600192096,425,0.2376470588235294,-0.0017566829291597791,-0.07427280207968812,30.303529411764707,0.9700352106259993,early_soft_no_accel,1533,85,-100,0.95,-0.01,soft,1.2,0.07,,False
-0.03445557647787356,-0.5653596186730625,-0.1832723826803133,-0.06094453041896261,0.6637735232074525,147,0.21768707482993196,-0.011068242898027925,-0.07427280207968812,29.578231292517007,0.8152976042035477,early_medium,282,85,5,0.95,-0.01,medium,1.2,0.07,,False
-0.03319794978485713,-0.3452616127698044,-0.6196715437280363,-0.09615302876717759,0.6739491330149492,54,0.2222222222222222,-0.03585270995345254,-0.07427280207968823,20.537037037037038,0.39456062701765965,early_strict,100,85,5,0.95,-0.01,strict,1.2,0.07,,False
-0.05528889466154929,-0.5486351269277349,-0.44670993607420995,-0.10077534584990552,0.5143962496302963,131,0.1984732824427481,-0.023761993575668838,-0.074272802079688,31.198473282442748,0.605295732238752,early_soft_accel10,305,85,10,0.95,-0.01,soft,1.2,0.07,,False
-0.17079501118945806,-0.9253668321361633,-0.2087641950158663,-0.18457005941653026,0.11202880772619095,798,0.19172932330827067,-0.00639356794247481,-0.07427280207968812,22.993734335839598,0.8990802250244919,early_no_vcp,11555,85,5,0.95,-0.01,none,1.2,0.07,,False
