peak,trough,recovery,drawdown,days_to_trough,days_to_recovery
2016-05-24,2023-12-07,,-0.5594312916953972,2753,
2015-08-10,2015-11-18,2016-03-29,-0.06784108903809549,100,232.0
2015-07-02,2015-07-08,2015-07-31,-0.04789795894930582,6,29.0
2016-04-26,2016-04-27,2016-05-10,-0.03358643355695601,1,14.0
2016-04-14,2016-04-20,2016-04-22,-0.03191156622781255,6,8.0
2015-06-18,2015-06-22,2015-07-01,-0.02172043429706283,4,13.0
2016-05-12,2016-05-13,2016-05-16,-0.009908620136372392,1,4.0
2016-04-01,2016-04-04,2016-04-05,-0.008760384065386595,3,4.0
2016-04-08,2016-04-11,2016-04-14,-0.006516745532781032,3,6.0
2015-01-02,2015-06-12,2015-06-15,-0.004488848693293579,161,164.0
