Code,Name,Market,entry,exit,entry_px,exit_px,ret,reason,hold_days,sell_tax
104480,티케이케미칼,KOSDAQ,2019-06-11,2019-06-27,164.71902439024382,152.88231529756087,-0.07445840223966416,stop,16,0.0025
144510,녹십자랩셀,KOSDAQ,2020-08-10,2020-08-12,124.98960498960518,116.00785197505215,-0.07445840223966416,stop,2,0.0025
206560,덱스터,KOSDAQ,2019-06-13,2019-06-27,30.407916666666704,28.222803775000035,-0.07445840223966416,stop,14,0.0025
000270,기아차,KOSPI,2020-12-07,2020-12-22,123.0159392789371,114.17601388235266,-0.07445840223966427,stop,15,0.0025
004270,남성,KOSPI,2020-11-20,2020-12-08,53.644811320754535,49.78989517924511,-0.07445840223966427,stop,18,0.0025
012690,모나리자,KOSPI,2019-03-27,2019-03-28,243.9014634146334,226.37470425365785,-0.07492240263960404,stop,1,0.003
035900,JYP Ent.,KOSDAQ,2017-12-19,2018-01-09,299.72489082969406,278.1866601746722,-0.07492240263960415,stop,21,0.003
068760,셀트리온제약,KOSDAQ,2016-06-15,2016-06-17,244.23749999999993,226.6865932499999,-0.07492240263960415,stop,2,0.003
078340,컴투스,KOSDAQ,2018-03-09,2018-05-02,699.5482546201238,649.2787170431217,-0.07492240263960415,stop,54,0.003
030200,KT,KOSPI,2018-11-21,2019-02-14,98.25436893203876,91.19380998058244,-0.07492240263960415,stop,85,0.003
130960,CJ E&M,KOSDAQ,2017-04-10,2017-04-21,279.2876190476186,259.21801074285673,-0.07492240263960415,stop,11,0.003
012510,더존비즈온,KOSPI,2016-04-06,2016-04-07,224.00266666666644,207.90583503999977,-0.07492240263960415,stop,1,0.003
010950,S-Oil,KOSPI,2016-03-18,2016-05-04,125.3536551724138,116.34574151172413,-0.07492240263960415,stop,47,0.003
086900,메디톡스,KOSDAQ,2015-06-12,2015-07-07,307.31895043731777,285.2350106588921,-0.07492240263960415,stop,25,0.003
096770,SK이노베이션,KOSPI,2016-03-30,2016-04-29,119.16642857142858,110.60312901428573,-0.07492240263960415,stop,30,0.003
035720,카카오,KOSDAQ,2017-06-08,2017-06-20,128.25600000000006,119.03952384000004,-0.07492240263960415,stop,12,0.003
068760,셀트리온제약,KOSDAQ,2016-08-11,2016-08-29,245.68269230769232,228.02793403846155,-0.07492240263960415,stop,18,0.003
006260,LS,KOSPI,2017-07-19,2017-11-13,99.70087173100883,92.53636708841853,-0.07492240263960415,stop,117,0.003
009540,현대중공업,KOSPI,2016-10-07,2016-11-02,57.70887573964503,53.56191592899413,-0.07492240263960426,stop,26,0.003
204320,만도,KOSPI,2016-08-19,2016-08-23,138.50430379746837,128.5513845265823,-0.07492240263960426,stop,4,0.003
